"id","name","side","avg_bat_speed","swing_tilt","attack_angle","attack_direction","ideal_attack_angle_rate","avg_intercept_y_vs_plate","avg_intercept_y_vs_batter","avg_batter_y_position","avg_batter_x_position","competitive_swings"
656305,"Chapman, Matt","R","75.847484314",25.906055509527235,2.8367269696034954,-1.1027696222575616,0.40056022408963593,-2.2540604838158163,25.490699535299708,27.74476001911552,28.188180077264928,357
804606,"Griffin, Konnor","R","75.461581898",32.240213266104725,8.872878541814684,-1.0925434249033237,0.45042492917847027,3.072031227124098,32.06053726869531,28.98850604157122,30.652579046517097,353
670042,"Raley, Luke","L","75.409197687",31.82541292387567,16.040835242875914,-3.9949416210777517,0.5612244897959182,4.0868162753594905,33.09463248252783,29.007816207168343,28.83856821661239,294
670242,"Wallner, Matt","L","75.397423745",27.756418565650467,11.100097739191238,-5.332704966985099,0.5791505791505791,8.936532550830837,35.798749402428506,26.86221685159768,31.920193733848958,259
663586,"Riley, Austin","R","75.391268629",31.578898493760615,11.655160699276035,-5.352662572540453,0.46335697399527187,6.541873323787606,35.71843084197039,29.176557518182783,28.688407907011634,423
682985,"Greene, Riley","L","75.327624499",44.02604499213751,15.261349542628444,-0.32550285517246835,0.4400977995110024,2.235896538459794,33.02778998188271,30.791893443422918,24.525037500473744,409
696100,"Goodman, Hunter","R","75.290086575",23.940239964859913,14.649352887376642,-7.97498377290638,0.655,11.520434565499519,39.1760088482451,27.655574282745587,30.598041670438008,400
665487,"Tatis Jr., Fernando","R","75.268429209",29.90790630834488,6.5558029034535545,3.2576878228829456,0.5056497175141242,3.0016941973936095,29.066786624762397,26.065092427368793,29.64921119234667,354
545361,"Trout, Mike","R","75.245672845",35.27136344098828,7.76377977972772,-3.618064361538741,0.49723756906077354,-0.8018296240727197,26.753239490440368,27.555069114513092,24.578744142245316,362
669127,"Langeliers, Shea","R","75.197029949",31.112099077089812,11.429396781038935,-2.3547836927528563,0.6163682864450127,6.172283204023363,34.57836557989126,28.406082375867904,30.661182115786335,391
