"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
663728,"Raleigh, Cal",373,0.9009661835748792,265,"74.652923405",0.48257372654155495,0.19245283018867926,0.13672922252010725,0.09056603773584905,0.064343163538874,"7.824608257",7,-17.776275352324205,,NaN,98,0.26273458445040215
660271,"Ohtani, Shohei",379,0.9045346062052506,274,"74.633198971",0.48548812664907653,0.3722627737226277,0.2691292875989446,0.20072992700729927,0.14511873350923482,"7.812677836",6,-2.3430703123565517,,NaN,139,0.36675461741424803
683357,"Caissie, Owen",280,0.9032258064516129,189,"74.610525714",0.5,0.25396825396825395,0.17142857142857143,0.14285714285714285,0.09642857142857143,"7.090941107",12,-4.6395192626125725,,NaN,77,0.275
695600,"Jensen, Carter",311,0.8988439306358381,217,"74.587121093",0.4501607717041801,0.3087557603686636,0.21543408360128619,0.11981566820276497,0.08360128617363344,"7.125138617",15,-10.528940215627687,,NaN,105,0.33762057877813506
691718,"Crow-Armstrong, Pete",422,0.9017094017094017,323,"74.559747014",0.48578199052132703,0.28792569659442724,0.22037914691943128,0.17027863777089783,0.13033175355450238,"7.311865806",20,-10.121018654666585,,NaN,137,0.3246445497630332
641857,"McMahon, Ryan",260,0.8996539792387543,190,"74.480946423",0.4692307692307693,0.33157894736842103,0.2423076923076923,0.18421052631578946,0.1346153846153846,"7.317790154",13,-5.410689176336829,,NaN,93,0.3576923076923077
669065,"Stowers, Kyle",274,0.9072847682119205,191,"74.474070438",0.437956204379562,0.3036649214659686,0.2116788321167883,0.18848167539267016,0.13138686131386862,"6.715789307",7,-7.5031217312788865,,NaN,89,0.3248175182481752
699912,"Fernandez, Jose",247,0.9080882352941176,193,"74.427251538",0.4655870445344129,0.3005181347150259,0.23481781376518218,0.13989637305699482,0.10931174089068826,"7.795222834",3,-4.337922778359243,,NaN,99,0.4008097165991903
683002,"Henderson, Gunnar",460,0.9019607843137255,351,"74.411443435",0.44130434782608696,0.2905982905982906,0.2217391304347826,0.14814814814814814,0.11304347826086956,"7.41506887",8,-5.58337469136692,,NaN,167,0.3630434782608696
624413,"Alonso, Pete",409,0.910913140311804,303,"74.389378875",0.430317848410758,0.35973597359735976,0.2665036674816626,0.23432343234323433,0.17359413202933985,"7.190853423",10,-11.808550346041486,,NaN,151,0.3691931540342298
671056,"Herrera, Iván",370,0.9068627450980392,300,"74.351206108",0.4594594594594594,0.31666666666666665,0.25675675675675674,0.16,0.12972972972972974,"7.827854162",7,-6.181109116789006,,NaN,155,0.4189189189189189
606466,"Marte, Ketel",352,0.9072164948453608,278,"74.330620455",0.4318181818181819,0.3345323741007194,0.26420454545454547,0.21942446043165467,0.17329545454545456,"7.734602841",4,-4.191257741402627,,NaN,157,0.4460227272727273
592518,"Machado, Manny",370,0.9046454767726161,284,"74.266791351",0.3945945945945946,0.2746478873239437,0.21081081081081082,0.14084507042253522,0.10810810810810811,"7.840351243",13,-12.223252953754017,,NaN,130,0.35135135135135137
666160,"Moniak, Mickey",297,0.9,225,"74.13278037",0.43434343434343436,0.31555555555555553,0.23905723905723905,0.1288888888888889,0.09764309764309764,"7.817987811",5,11.76481421041537,,NaN,108,0.36363636363636365
691016,"Soderstrom, Tyler",362,0.905,287,"74.11664174",0.4171270718232044,0.3205574912891986,0.2541436464088398,0.17770034843205576,0.1408839779005525,"7.485470442",10,-8.938010364774431,,NaN,153,0.42265193370165743
572233,"Walker, Christian",411,0.899343544857768,307,"74.112289367",0.4111922141119222,0.3322475570032573,0.24817518248175183,0.1986970684039088,0.14841849148418493,"7.386168564",16,2.2290868691744308,,NaN,165,0.40145985401459855
547180,"Harper, Bryce",429,0.9050632911392406,309,"74.074810559",0.4475524475524475,0.2815533980582524,0.20279720279720279,0.15857605177993528,0.11421911421911422,"7.417180396",4,-3.3836205955056045,,NaN,151,0.351981351981352
667670,"Rooker, Brent",265,0.9013605442176871,165,"74.004338792",0.41132075471698115,0.2727272727272727,0.16981132075471697,0.1696969696969697,0.10566037735849057,"7.079707887",6,-13.11747656450892,,NaN,87,0.3283018867924528
666139,"Lowe, Josh",271,0.9003322259136213,197,"73.998752841",0.40221402214022134,0.23857868020304568,0.17343173431734318,0.08121827411167512,0.05904059040590406,"7.590848266",4,-14.123441853227298,,NaN,81,0.2988929889298893
678246,"Vargas, Miguel",392,0.9053117782909931,318,"73.984058265",0.4413265306122449,0.3018867924528302,0.24489795918367346,0.16981132075471697,0.1377551020408163,"7.697864821",2,-3.6774643184843407,,NaN,148,0.37755102040816324
621439,"Buxton, Byron",389,0.9025522041763341,277,"73.741579974",0.3753213367609255,0.2996389891696751,0.2133676092544987,0.15162454873646208,0.10796915167095116,"8.060624267",8,-1.5131332625241618,,NaN,135,0.34704370179948585
677951,"Witt Jr., Bobby",393,0.8993135011441648,298,"73.668685318",0.4096692111959288,0.3724832214765101,0.2824427480916031,0.21140939597315436,0.16030534351145037,"6.986420254",7,-1.8343536913645075,,NaN,165,0.4198473282442748
677800,"Abreu, Wilyer",410,0.9090909090909091,329,"73.663414098",0.3707317073170732,0.3069908814589666,0.24634146341463414,0.14893617021276595,0.11951219512195121,"7.114779098",5,-5.602372819006119,,NaN,163,0.3975609756097561
672960,"Okamoto, Kazuma",390,0.9006928406466512,280,"73.633279205",0.3923076923076923,0.3357142857142857,0.24102564102564103,0.18571428571428572,0.13333333333333333,"7.877395026",14,-6.948668758120278,,NaN,128,0.3282051282051282
542303,"Ozuna, Marcell",312,0.9043478260869565,215,"73.546358077",0.3653846153846154,0.31627906976744186,0.21794871794871795,0.14883720930232558,0.10256410256410256,"7.502453558",3,-18.57396481123472,,NaN,108,0.34615384615384615
660821,"Sánchez, Jesús",307,0.9029411764705882,228,"73.49947785",0.44299674267100975,0.3157894736842105,0.23452768729641693,0.15350877192982457,0.11400651465798045,"6.879645668",3,-8.126907643985259,,NaN,107,0.3485342019543974
691781,"House, Brady",306,0.9053254437869822,213,"73.490428203",0.3137254901960785,0.2863849765258216,0.19934640522875818,0.14553990610328638,0.10130718954248366,"7.601360817",8,-6.804725553527997,,NaN,106,0.3464052287581699
701538,"Merrill, Jackson",395,0.9059633027522935,284,"73.448352127",0.3012658227848102,0.2605633802816901,0.18734177215189873,0.1267605633802817,0.09113924050632911,"7.607737089",5,-18.959098237080347,,NaN,122,0.30886075949367087
686555,"Collins, Isaac",242,0.8996282527881041,182,"73.434329298",0.3347107438016529,0.33516483516483514,0.25206611570247933,0.17582417582417584,0.1322314049586777,"6.791417314",11,-7.044933312831554,,NaN,103,0.4256198347107438
650490,"Díaz, Yandy",349,0.9136125654450262,307,"73.416320287",0.36103151862464183,0.3127035830618892,0.27507163323782235,0.19543973941368079,0.17191977077363896,"7.616548625",6,6.2355349058814,,NaN,157,0.4498567335243553
671732,"Butler, Lawrence",261,0.9,185,"73.389396705",0.33716475095785436,0.2648648648648649,0.18773946360153257,0.13513513513513514,0.09578544061302682,"7.029913985",8,-17.93071511770375,,NaN,83,0.31800766283524906
661388,"Contreras, William",343,0.9146666666666666,280,"73.355049708",0.3673469387755103,0.38571428571428573,0.31486880466472306,0.18214285714285713,0.14868804664723032,"7.185586414",4,-6.989860058201144,,NaN,169,0.49271137026239065
668901,"Vientos, Mark",331,0.914364640883978,234,"73.249041027",0.2537764350453173,0.36324786324786323,0.256797583081571,0.21794871794871795,0.1540785498489426,"7.510264804",9,-7.021820910594857,,NaN,129,0.38972809667673713
664040,"Lowe, Brandon",398,0.8984198645598194,279,"73.159286633",0.3718592964824121,0.34408602150537637,0.24120603015075376,0.1863799283154122,0.1306532663316583,"7.002643367",20,4.842262702253656,,NaN,142,0.35678391959798994
671277,"García Jr., Luis",319,0.9140401146131805,267,"73.066872382",0.32915360501567403,0.34831460674157305,0.29153605015673983,0.20224719101123595,0.16927899686520376,"7.366602351",4,-0.4279280157493399,,NaN,139,0.43573667711598746
694208,"Ballesteros, Moisés",247,0.9080882352941176,182,"72.999383239",0.4008097165991903,0.36813186813186816,0.27125506072874495,0.18681318681318682,0.13765182186234817,"7.160471822",8,-5.070753433653935,,NaN,98,0.3967611336032389
669236,"Jackson, Jeremiah",306,0.9080118694362018,230,"72.988328791",0.28758169934640526,0.3652173913043478,0.27450980392156865,0.1782608695652174,0.13398692810457516,"7.581302157",10,-6.158651176046345,,NaN,122,0.39869281045751637
679529,"Torkelson, Spencer",359,0.9065656565656566,269,"72.954226323",0.21727019498607247,0.29739776951672864,0.22284122562674094,0.1412639405204461,0.10584958217270195,"7.762523565",5,-12.171869018170689,,NaN,118,0.3286908077994429
669357,"Gorman, Nolan",375,0.8992805755395683,238,"72.9469568",0.3013333333333334,0.29831932773109243,0.18933333333333333,0.15126050420168066,0.096,"7.570891733",7,-12.797387368166056,,NaN,109,0.2906666666666667
662139,"Varsho, Daulton",374,0.9077669902912622,299,"72.90358516",0.28074866310160423,0.24414715719063546,0.19518716577540107,0.10367892976588629,0.08288770053475936,"7.623831096",3,-8.136637690627214,,NaN,139,0.3716577540106952
681624,"Pages, Andy",431,0.8997912317327766,344,"72.851158283",0.27146171693735505,0.3226744186046512,0.25754060324825984,0.1744186046511628,0.13921113689095127,"7.686620673",8,1.9093251437852772,,NaN,165,0.382830626450116
665862,"Chisholm Jr., Jazz",350,0.8997429305912596,250,"72.851085371",0.2771428571428572,0.332,0.23714285714285716,0.144,0.10285714285714286,"7.869543343",8,-9.839295646979108,,NaN,123,0.3514285714285714
668804,"Reynolds, Bryan",382,0.8988235294117647,290,"72.844302932",0.2879581151832461,0.30344827586206896,0.23036649214659685,0.16206896551724137,0.12303664921465969,"7.023934738",16,-4.976109722034918,,NaN,139,0.36387434554973824
677649,"Duran, Ezequiel",290,0.9034267912772586,207,"72.807208379",0.2931034482758621,0.32367149758454106,0.23103448275862068,0.1497584541062802,0.10689655172413794,"7.150131276",6,-0.9037356469063949,,NaN,108,0.3724137931034483
